kc_id,P_L0,P_T,P_S,P_G,neg_log_lik,converged
18,0.8093300442696261,0.03639275258969078,0.08281341178084249,0.499,7052.648726937776,True
24,0.8203124889060072,0.12953824680045972,0.06999030884655878,0.499,4396.11752334382,True
32,0.8267821161147714,0.2057333955047038,0.12573116485934116,0.3234658579655857,4101.210926399447,True
33,0.7209326081863192,0.054171551682451094,0.10898376849733683,0.499,4125.758176325148,True
34,0.7774415138503254,0.09022241555760904,0.07430248200893338,0.499,3735.6131904850545,True
55,0.7055154642798377,0.054180345101575336,0.09786184909740982,0.499,7156.547027489488,True
56,0.8030105525179135,0.14862248980077747,0.09435562683367313,0.3419829910638063,4274.981008066773,True
57,0.6295166691543652,0.07567731609118462,0.10056370303732026,0.499,6214.740156716041,True
73,0.831194340643935,0.1174231848484009,0.09480138460346639,0.499,3482.643403002282,True
78,0.7526083401754918,0.05790057292881314,0.11652719433875164,0.48313931848565544,8773.103100183762,True
81,0.7002818592617073,0.18792876141157652,0.07618147151178689,0.40957609750819834,3876.0269971467274,True
88,0.5520019065811296,0.17914307274757957,0.04532844534760875,0.499,3533.511210661046,True
108,0.8150166394728385,0.20368100577249615,0.14162838100225786,0.499,3802.602800261508,True
138,0.5102455770267976,0.22016222885045583,0.08724847246451892,0.47114375030865374,5580.731898796263,True
140,0.7547990871503997,0.23734611321691174,0.15015953688140626,0.3210841347790387,4049.7698369937243,True
155,0.6109319635659501,0.030728021463043105,0.12454543261277115,0.4620101663173197,8189.376951734461,True
166,0.7201177183752044,0.09011068670934663,0.11436493228660079,0.46540974111656414,6367.874012017958,True
179,0.7039133786551313,0.1908249608656536,0.11974906096571583,0.37368232147513586,4218.7672695836245,True
180,0.6375081502794285,0.09549921999140755,0.10493418509094303,0.4635936052655818,4699.580777655032,True
183,0.5489076913218842,0.15115724899655705,0.07315769555925199,0.499,5437.0707639063985,True
206,0.8633376384277913,0.006828547821973665,0.108844142445225,0.499,4182.37382421673,True
208,0.6243487111922666,0.10577290855595291,0.08989316793884343,0.4912819390918977,5874.829064878579,True
214,0.6535522392194691,0.090451092848875,0.15078841473282004,0.3172686119144919,4893.377213057224,True
257,0.764298819184181,0.024916540912608445,0.13083687674891975,0.499,7351.145779985796,True
266,0.8133582038288055,0.054720112638773515,0.07716038984348486,0.499,4098.554605288715,True
