questions,delta_static,n_students,q_error_rate,delta_cumulative,learning_effect,relative_improvement,before_error,after_error,delta_chronological,improvement_rate
0,-0.1104343931930138,2233,0.0940438871473354,-0.3128047976802425,0.3128047976802425,0.7929766973610659,0.5833333333333334,0.5242130750605327,-0.0591202582728006,0.0
1,0.0886807712215321,1472,0.3532608695652174,0.2004456824512535,-0.2004456824512535,-1.2759091473253072,0.1161406423034329,0.0400728597449908,-0.0760677825584421,0.0550271739130434
2,-0.0631566820276497,2170,0.1783410138248848,-0.0698832453142798,0.0698832453142798,0.2802562437721123,0.2165142549757934,0.3665730337078651,0.1500587787320717,0.0732718894009216
3,-0.128727188369935,3233,0.127126507887411,-0.1527226360487735,0.1527226360487735,0.544934562516548,0.2275847808105872,0.4277432712215321,0.2001584904109448,0.0361892978657593
4,0.0,767,0.105606258148631,,,,,,,0.0
5,0.077321668909825,743,0.3068640646029609,0.0866147741147741,-0.0866147741147741,-0.4050527746293499,0.170373665480427,0.2127659574468085,0.0423922919663814,0.044414535666218
6,-0.0841016548463357,3102,0.0386847195357833,-0.1051470648730922,0.1051470648730922,0.7159060131433266,0.210006224712107,0.2200934579439252,0.0100872332318181,0.0386847195357833
7,-0.0503307036417244,4183,0.0236672244800382,-0.1038369500190351,0.1038369500190351,0.79997502762255,0.2366223585548738,0.0473061760840998,-0.189316182470774,0.0136265837915371
8,0.0167957227138643,904,0.2323008849557522,0.0328972644844014,-0.0328972644844014,-0.160774632363572,0.1773333333333333,0.1876923076923076,0.0103589743589743,0.0331858407079646
9,-0.0947311827956989,310,0.0677419354838709,-0.101610568222946,0.101610568222946,0.6057003794931317,0.2133956386292834,0.1773584905660377,-0.0360371480632457,0.0903225806451612
10,-0.0078078078078078,555,0.1963963963963964,-0.009529602595296,0.009529602595296,0.0455015431799963,0.2256666666666666,0.1743772241992882,-0.0512894424673784,0.0828828828828828
11,0.0158450704225352,568,0.2570422535211267,0.0382513661202185,-0.0382513661202185,-0.1833276589057957,0.15625,0.1456953642384106,-0.0105546357615894,0.0
12,-0.0063608106267386,1805,0.1396121883656509,2.8508855858087304e-05,-2.8508855858087304e-05,-0.0002072661242899,0.1289387144992526,0.1007488087134104,-0.0281899057858421,0.1268698060941828
13,-0.0213065510192978,557,0.2118491921005386,-0.0201481662081009,0.0201481662081009,0.0868571267987015,0.2279365079365079,0.2523900573613766,0.0244535494248686,0.0700179533213644
14,-0.021279407877346,1261,0.1657414750198255,-0.0352802579365079,0.0352802579365079,0.1864884069104934,0.2487966305655836,0.1744749596122778,-0.0743216709533057,0.0459952418715305
15,-0.0582774049217002,298,0.1006711409395973,-0.063294986906098,0.063294986906098,0.3908591798050411,0.188663282571912,0.1875,-0.001163282571912,0.0973154362416107
16,-0.0150329547048099,2377,0.1989903239377366,-0.0247276322662487,0.0247276322662487,0.1114698853865881,0.1829971181556196,0.1986706056129985,0.0156734874573789,0.0172486327303323
17,0.0075087719298245,2375,0.2197894736842105,0.0703971119133574,-0.0703971119133574,-0.369479129166114,0.2,0.1351351351351351,-0.0648648648648648,0.0
18,-0.0624215577703949,344,0.1220930232558139,-0.0758812720824764,0.0758812720824764,0.3813621852685305,0.169090909090909,0.1777777777777777,0.0086868686868687,0.2412790697674418
19,-0.0859155248044137,351,0.1082621082621082,-0.0990733241720757,0.0990733241720757,0.4875051454591663,0.1733430799220273,0.1798107255520504,0.0064676456300231,0.2165242165242165
20,-0.1213572179660507,634,0.0946372239747634,-0.1633406416049006,0.1633406416049006,0.6249747938930577,0.2905277465316835,0.2826086956521739,-0.0079190508795096,0.0425867507886435
21,-0.0964518132141083,610,0.1081967213114754,-0.1167768936164139,0.1167768936164139,0.5201429247079955,0.1926296296296296,0.2393320964749536,0.0467024668453239,0.2655737704918032
22,-0.0478222483814008,1699,0.0517951736315479,-0.0982704402515723,0.0982704402515723,0.6710616732520185,0.2355013550135501,0.220253164556962,-0.0152481904565881,0.0141259564449676
23,0.0091807571619969,1226,0.2610114192495921,-0.002423091225189,0.002423091225189,0.0095903783153788,0.2057220708446866,0.3429203539823008,0.1371982831376142,0.0146818923327895
24,-0.0594869377047594,1313,0.1424219345011424,-0.0584466899600307,0.0584466899600307,0.2884299935085347,0.1690175438596491,0.2889576883384933,0.1199401444788441,0.0784463061690784
25,-0.0665689187966415,606,0.1303630363036303,-0.082891475041306,0.082891475041306,0.3868832190322283,0.1866393133371062,0.1752767527675277,-0.0113625605695785,0.3102310231023102
26,0.0258855585831062,367,0.2643051771117166,0.0341880341880341,-0.0341880341880341,-0.1502798963068715,0.1688888888888889,0.4444444444444444,0.2755555555555555,0.0
