experiment,run_name,run_id,status,param.n_contexts,param.n_items,param.p_star,param.pool_size,metric.mean_success_prob_desirable,metric.mean_success_prob_original,metric.ope_direct_method_r2,metric.pct_in_zpd_desirable,metric.pct_in_zpd_original,param.n_cases,param.n_items_per_session,param.n_students_per_case,metric.macro_f1,metric.min_class_f1,metric.smoothness_correlation,param.best_feature_set,param.n_clusters,param.n_kcs,metric.best_ari,metric.best_silhouette,param.best_k,param.n_students,param.n_top_kcs,metric.pct_bkt_converged,metric.pct_reached_mastery,metric.silhouette,param.n_authored_edges_tested,metric.discovered_tree_agreement,metric.mean_lift,metric.pct_positive_lift,param.n_kcs_tested,param.n_pfa_obs,metric.kruskal_depth_p,metric.kruskal_module_p,metric.pct_reliable_curve_fits,metric.pfa_gamma_success,metric.pfa_rho_failure,metric.corr_cumulative_chronological,metric.corr_delta_irt_discrimination,metric.corr_static_cumulative,metric.n_desirable_difficulty_candidates,param.blend_a0,param.irt_n_items,param.n_items_scored,param.shrinkage_m,metric.corr_demp_irt,metric.corr_dstat_irt,metric.mu_global,metric.static_auc,param.n_canonical_events,param.n_raw_rows,metric.dedup_ratio,metric.pct_multi_attempt_pairs,metric.pct_zero_delta
noxed-bandit,08_bandit_reward_sim,4ce77e8b33824fb0ac69b50fd292c36c,FINISHED,500,7217,0.8,30,0.5402714757782856,0.29092522074322336,0.40902901461451413,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noxed-behavioural,07_behavioural_synthetic_lab,c13c9b5e9c414f41ac2a1bbc1d9a8356,FINISHED,,,,,,,,,,13,60,120,0.8206619977167182,0.5327510917030568,0.2669924684849985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noxed-diagnostic_clustering,06_diagnostic_clustering,679b8747b92041678dda36e7abcb2f28,FINISHED,,,,,,,,,,,,,,,,error_plus_depth,12,822,0.026492699366070516,0.5213713249591001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noxed-knowledge_tracing,04_knowledge_tracing_students,9d27179796e141a89133e5f7e8572739,FINISHED,,,,,,,,,,,,,,,,,,,,,2,14453,25,1.0,0.25553558590941766,0.2658831352374534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noxed-prerequisites,05_kc_prerequisites,cd32c4bd913a40a49bc415cce6527015,FINISHED,,,,,,,,,,,,,,,,,,,,,,,600,,,,29,0.00018363939899833056,0.11190466239994817,0.8620689655172413,,,,,,,,,,,,,,,,,,,,,,,,
noxed-learning_dynamics,03_learning_dynamics,2e34d2f92f8a41c0aa8fe22bc1966523,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,5089140,0.017055577404462854,0.031103605643690222,0.17002881844380405,0.15032070875167847,-0.37473565340042114,,,,,,,,,,,,,,,,,
noxed-discrimination,02_item_discrimination,69cf435e23424342ba02522df2364e25,FINISHED,,7618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02707169330234693,-0.0756906877180542,0.8651099499684209,18.0,,,,,,,,,,,,,
noxed-difficulty,01_difficulty_irt,85200c2f9ee746d780b2a6b6c1b767d1,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,100,7217,20.0,0.89689016762101,-0.0537417757729225,0.20439754942748106,0.5657115557413839,,,,,
noxed-data_contract,00_data_contract,01115e06b54d4195818512b7a9d4c8a4,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401264,5139044,0.8564363332946751,0.03357329255295893,0.5104373085596804
noxed-data_contract,00_data_contract,5092938c44cb42f998bf17ad2245a968,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401264,5139044,0.8564363332946751,0.03357329255295893,0.5104373085596804
noxed-data_contract,00_data_contract,cd147918b89d4c6ca4f62d064c87c2f4,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401264,5139044,0.8564363332946751,0.03357329255295893,0.5104373085596804
