kc_a,kc_b,error_a,error_b,proposed_parent,proposed_child
18,78,0.1681002723712859,0.1871323035594358,18,78
18,55,0.1681002723712859,0.1960331575608183,18,55
18,155,0.1681002723712859,0.2702955082742316,18,155
18,24,0.1681002723712859,0.1291939596979849,24,18
18,138,0.1681002723712859,0.2206870342974253,18,138
18,208,0.1681002723712859,0.2127058296842429,18,208
18,166,0.1681002723712859,0.206418767446233,18,166
18,57,0.1681002723712859,0.2441604358662261,18,57
18,257,0.1681002723712859,0.2241479248782749,18,257
18,73,0.1681002723712859,0.1648738004999596,73,18
18,34,0.1681002723712859,0.1696470747013968,18,34
18,56,0.1681002723712859,0.1970024110259455,18,56
18,32,0.1681002723712859,0.1952760177488422,18,32
18,81,0.1681002723712859,0.1854571197411003,18,81
18,33,0.1681002723712859,0.2148650610907129,18,33
18,266,0.1681002723712859,0.1583056802654694,266,18
18,180,0.1681002723712859,0.2162778379125308,18,180
18,183,0.1681002723712859,0.2127154310973172,18,183
18,206,0.1681002723712859,0.1686946504427964,18,206
18,214,0.1681002723712859,0.2929731311259569,18,214
18,179,0.1681002723712859,0.2326423328704622,18,179
18,140,0.1681002723712859,0.2273071868998281,18,140
18,108,0.1681002723712859,0.1805354282663412,18,108
18,88,0.1681002723712859,0.1925984372216141,18,88
18,2,0.1681002723712859,0.0861746361746361,2,18
18,204,0.1681002723712859,0.1322477950002609,204,18
18,168,0.1681002723712859,0.2195135208588123,18,168
18,104,0.1681002723712859,0.180595423603707,18,104
18,41,0.1681002723712859,0.2221977598590968,18,41
18,6,0.1681002723712859,0.2574957857794235,18,6
18,188,0.1681002723712859,0.1871947158081705,18,188
18,198,0.1681002723712859,0.159701534092491,198,18
18,109,0.1681002723712859,0.2045606787987049,18,109
18,65,0.1681002723712859,0.1996992737176577,18,65
18,177,0.1681002723712859,0.1953535063817582,18,177
18,170,0.1681002723712859,0.2410207374648897,18,170
18,232,0.1681002723712859,0.2846038037299905,18,232
18,106,0.1681002723712859,0.0915954327073064,106,18
18,10,0.1681002723712859,0.2652051822069053,18,10
18,14,0.1681002723712859,0.1434390456793715,14,18
18,91,0.1681002723712859,0.2376830002005481,18,91
18,222,0.1681002723712859,0.1607378586813034,222,18
18,9,0.1681002723712859,0.2022371842827117,18,9
18,64,0.1681002723712859,0.1131362128615757,64,18
18,102,0.1681002723712859,0.1834816482613201,18,102
18,192,0.1681002723712859,0.071036092655773,192,18
18,213,0.1681002723712859,0.3288757353209836,18,213
18,187,0.1681002723712859,0.1785767345119596,18,187
18,336,0.1681002723712859,0.2299407040456353,18,336
18,260,0.1681002723712859,0.2135816872510761,18,260
18,139,0.1681002723712859,0.1614944875459371,139,18
18,162,0.1681002723712859,0.2413299525601177,18,162
18,200,0.1681002723712859,0.1523206056616194,200,18
18,157,0.1681002723712859,0.2678578918669519,18,157
18,23,0.1681002723712859,0.1534911043974488,23,18
18,263,0.1681002723712859,0.1710582055409641,18,263
18,252,0.1681002723712859,0.2214592274678111,18,252
18,220,0.1681002723712859,0.1441658423293621,220,18
18,123,0.1681002723712859,0.2581164475449423,18,123
18,165,0.1681002723712859,0.1927120776419842,18,165
18,76,0.1681002723712859,0.1365385485988501,76,18
18,67,0.1681002723712859,0.161831224014255,67,18
18,172,0.1681002723712859,0.2895292282279526,18,172
18,335,0.1681002723712859,0.2356724040098354,18,335
18,5,0.1681002723712859,0.1118629631382198,5,18
18,77,0.1681002723712859,0.1869203104296801,18,77
18,58,0.1681002723712859,0.1897458158491294,18,58
18,359,0.1681002723712859,0.1885105092966855,18,359
18,330,0.1681002723712859,0.208350326264274,18,330
18,379,0.1681002723712859,0.1302469135802469,379,18
18,164,0.1681002723712859,0.1621564704643571,164,18
18,272,0.1681002723712859,0.1866505110104309,18,272
18,448,0.1681002723712859,0.1586607666471184,448,18
18,66,0.1681002723712859,0.1570621468926553,66,18
18,203,0.1681002723712859,0.2096366083445491,18,203
18,62,0.1681002723712859,0.1780050874059641,18,62
18,142,0.1681002723712859,0.2562929061784897,18,142
18,147,0.1681002723712859,0.2138697723663314,18,147
18,261,0.1681002723712859,0.2593805836807623,18,261
18,223,0.1681002723712859,0.0869486948694869,223,18
18,212,0.1681002723712859,0.2458239688999574,18,212
18,135,0.1681002723712859,0.2053845210352017,18,135
18,227,0.1681002723712859,0.100006158014656,227,18
18,124,0.1681002723712859,0.2737194592583405,18,124
18,112,0.1681002723712859,0.2378522988863311,18,112
18,30,0.1681002723712859,0.1712200598802395,18,30
18,258,0.1681002723712859,0.2557539932084015,18,258
18,237,0.1681002723712859,0.2121519629606139,18,237
18,132,0.1681002723712859,0.2642766497461929,18,132
18,340,0.1681002723712859,0.0760687072194239,340,18
18,169,0.1681002723712859,0.2188290215911301,18,169
18,207,0.1681002723712859,0.1487819214943504,207,18
18,231,0.1681002723712859,0.2281632920516348,18,231
18,121,0.1681002723712859,0.171790829063198,18,121
18,11,0.1681002723712859,0.187532946758039,18,11
18,35,0.1681002723712859,0.2019820670127418,18,35
18,301,0.1681002723712859,0.0797333151915096,301,18
18,43,0.1681002723712859,0.2235960489051599,18,43
18,16,0.1681002723712859,0.2483759502418797,18,16
18,161,0.1681002723712859,0.3537805133944184,18,161
18,36,0.1681002723712859,0.2022343168146662,18,36
18,229,0.1681002723712859,0.4287357974974831,18,229
18,236,0.1681002723712859,0.2566397228637413,18,236
18,148,0.1681002723712859,0.1955323469683783,18,148
18,37,0.1681002723712859,0.1954974582425563,18,37
18,7,0.1681002723712859,0.200058326042578,18,7
18,241,0.1681002723712859,0.2176237913858775,18,241
18,468,0.1681002723712859,0.2241225461035098,18,468
18,307,0.1681002723712859,0.1985608275241736,18,307
18,3,0.1681002723712859,0.2708765460551586,18,3
18,205,0.1681002723712859,0.1403685351502013,205,18
18,209,0.1681002723712859,0.2726072094468614,18,209
18,402,0.1681002723712859,0.2912198912198912,18,402
18,313,0.1681002723712859,0.3307374815045557,18,313
18,176,0.1681002723712859,0.3263414250923089,18,176
18,363,0.1681002723712859,0.1160015804030027,363,18
18,114,0.1681002723712859,0.2482987814527615,18,114
18,99,0.1681002723712859,0.2169977571291252,18,99
18,343,0.1681002723712859,0.2404832836809003,18,343
18,167,0.1681002723712859,0.2052173913043478,18,167
18,131,0.1681002723712859,0.1622921765549835,131,18
18,248,0.1681002723712859,0.1325321597833446,248,18
