parent,child,parent_kc,child_kc,lift,n_students,high_group_acc,low_group_acc
Calculation Module,Equation-based Word Problems,327,137,0.028253487518355214,534,0.8709618208516886,0.8427083333333334
Calculation Module,Addition/Subtraction Applications,327,377,0.06060606060606055,187,0.8787878787878788,0.8181818181818182
Calculation Module,Periodic Problems,327,307,0.09675262655205341,1342,0.8634192932187201,0.7666666666666667
Calculation Module,"Sum, Difference, Multiple Problems",327,175,0.1184062850729517,765,0.857171717171717,0.7387654320987653
Calculation Module,Average Problems,327,151,0.14099452327607664,362,0.5800970873786407,0.4391025641025641
Calculation Module,Array Problems,327,259,0.11103473341550518,703,0.6440536013400335,0.5330188679245284
Calculation Module,Surplus & Deficit Problems,327,210,-0.01182126696832575,463,0.6019607843137255,0.6137820512820512
Calculation Module,Arithmetic Sequence Applications,327,253,0.06406152033895085,1734,0.765545538603791,0.7014840182648402
Calculation Module,Restoration Problems,327,60,0.06398311833094439,661,0.9211259754738015,0.8571428571428571
Calculation Module,Interval Problems,327,45,0.119975884244373,343,0.932475884244373,0.8125
Calculation Module,Page Number Problems,327,85,0.23851783553276085,585,0.7136422136422136,0.47512437810945274
Calculation Module,Pattern Recognition,327,254,-0.03168202764976957,510,0.8392857142857143,0.8709677419354839
Calculation Module,Magic Squares,327,491,0.20150862068965514,61,0.71875,0.5172413793103449
Calculation Module,Linear Travel Problems,327,698,-0.05555555555555547,186,0.8611111111111112,0.9166666666666666
Calculation Module,Addition-Multiplication Principle,327,503,-0.0028046914839368053,286,0.7877358490566038,0.7905405405405406
Calculation Module,Inclusion-Exclusion Principle,327,84,0.046057722067471385,790,0.8307799442896936,0.7847222222222222
Calculation Module,Permutations & Combinations,327,303,0.20262730173832033,770,0.7654382470119522,0.5628109452736318
Calculation Module,Sequences & Number Tables,327,125,0.014074074074074239,1024,0.5974074074074075,0.5833333333333333
Calculation Module,Equation Basics,327,297,0.05227272727272725,384,0.825,0.7727272727272727
Simple Data Analysis,Distinguishing Leap Years and Common Years,72,369,0.17413976144382692,545,0.5920502092050209,0.417910447761194
Simple Data Analysis,Finding Periodic Patterns in Calendars,72,368,0.21641686407904587,753,0.6580010224948875,0.4415841584158416
Simple Data Analysis,Leap Year/Common Year Judgment for Non-Century Years,72,406,0.04585987261146496,334,0.945859872611465,0.9
Simple Data Analysis,Total Price = Unit Price × Quantity,72,376,0.24754139069709247,1881,0.9691157347204161,0.7215743440233237
Simple Data Analysis,Distance = Speed × Time,72,129,0.029537647591592386,396,0.8256541524459613,0.7961165048543689
Simple Data Analysis,Simple Equation-Based Word Problems,72,224,0.11786947229985212,928,0.9058441558441559,0.7879746835443038
Simple Data Analysis,Meaning of Division,72,497,0.010307692307692295,302,0.318,0.3076923076923077
Simple Data Analysis,Relationship Between Trees & Intervals,72,585,0.06628787878787878,180,0.7954545454545454,0.7291666666666666
Simple Data Analysis,Compound Statistical Tables,72,375,0.32073935023787525,1486,0.9750603378921963,0.654320987654321
Simple Data Analysis,Line Charts,72,624,0.5592723004694837,486,1.0,0.4407276995305163
