questions,attempted,n_kcs,mean_kc_depth,is_choice_type,D_raw,D_emp,D_stat,D_blend,P_L0,P_T,P_S,P_G,irt_discrimination,irt_difficulty_logit,irt_difficulty_unit
0,2233.0,1,5.0,0,0.0940438871473354,0.09502350243610724,0.5061856207239317,0.10047417126007308,0.44976291436996346,0.28492887431098907,0.18865271507315537,0.3,,,
1,1472.0,2,4.5,0,0.3532608695652174,0.3512653827001003,0.5166225788069198,0.35456812296854545,0.3227159385157273,0.24681478155471814,0.22253619163054675,0.3,,,
2,2170.0,1,4.0,0,0.1783410138248848,0.17857897305413223,0.49367707416767614,0.18287576534204422,0.4085621173289779,0.27256863519869334,0.18588047741089267,0.3,,,
3,3233.0,1,4.0,0,0.127126507887411,0.1276015834579003,0.49367707416767614,0.1309672790513092,0.4345163604743454,0.2803549081423036,0.17772342956520573,0.3,,,
4,767.0,1,5.0,0,0.105606258148631,0.1081168373425027,0.5061856207239317,0.12310060585121395,0.438449697074393,0.28153490912231793,0.19253153243163668,0.3,,,
5,743.0,1,4.0,0,0.3068640646029609,0.3041781795393835,0.49367707416767614,0.3115325997707532,0.3442337001146234,0.253270110034387,0.20609797996397552,0.3,,,
6,3102.0,1,5.0,0,0.0386847195357833,0.039746300765070346,0.5061856207239317,0.04421411034322034,0.47789294482838984,0.29336788344851694,0.17900813320169492,0.3,,,
7,4183.0,1,5.0,0,0.0236672244800382,0.02452723078480838,0.5061856207239317,0.027957031805025234,0.48602148409748736,0.2958064452292462,0.17622120545229006,0.3,,,
10,555.0,1,6.0,0,0.1963963963963964,0.19667469737139065,0.5186864282834047,0.21318811946944266,0.39340594026527864,0.2680217820795836,0.22530636504432508,0.3,,,
11,568.0,1,6.0,0,0.2570422535211267,0.2552516173274653,0.5186864282834047,0.26846741051923484,0.3657662947403826,0.25972988842211475,0.23557251909642932,0.3,,,
12,1805.0,1,6.0,0,0.1396121883656509,0.14032216492523267,0.5186864282834047,0.14650795669675593,0.426746021651622,0.2780238064954866,0.21292290624368326,0.3,,,
