questions,attempted,n_kcs,mean_kc_depth,is_choice_type,D_raw,D_emp,D_stat,D_blend,P_L0,P_T,P_S,P_G,irt_discrimination,irt_difficulty_logit,irt_difficulty_unit,p_success,reward_original,reward_desirable
0,2233.0,1,5.0,0,0.0940438871473354,0.0950235024361072,0.5061856207239317,0.100474171260073,0.4497629143699634,0.284928874310989,0.1886527150731553,0.3,,,,0.5299850451238657,0.052183898498873185,0.10276544032063091
1,1472.0,2,4.5,0,0.3532608695652174,0.3512653827001003,0.5166225788069198,0.3545681229685454,0.3227159385157273,0.2468147815547181,0.2225361916305467,0.3,,,,0.45408518102524154,0.25665220725194815,0.050679974506333283
2,2170.0,1,4.0,0,0.1783410138248848,0.1785789730541322,0.4936770741676761,0.1828757653420442,0.4085621173289779,0.2725686351986933,0.1858804774108926,0.3,,,,0.510049760709169,0.10455957074506932,0.08827505941616487
3,3233.0,1,4.0,0,0.127126507887411,0.1276015834579003,0.4936770741676761,0.1309672790513092,0.4345163604743454,0.2803549081423036,0.1777234295652057,0.3,,,,0.5269377145463499,0.07040806389195842,0.10253044197453005
4,767.0,1,5.0,0,0.105606258148631,0.1081168373425027,0.5061856207239317,0.1231006058512139,0.438449697074393,0.2815349091223179,0.1925315324316366,0.3,,,,0.5224993958801554,0.06558524519162125,0.09624014931567709
5,743.0,1,4.0,0,0.3068640646029609,0.3041781795393835,0.4936770741676761,0.3115325997707532,0.3442337001146234,0.253270110034387,0.2060979799639755,0.3,,,,0.4700177198510876,0.21140528724017324,0.060357683793604344
6,3102.0,1,5.0,0,0.0386847195357833,0.0397463007650703,0.5061856207239317,0.0442141103432203,0.4778929448283898,0.2933678834485169,0.1790081332016949,0.3,,,,0.5489783374558823,0.021612051920655823,0.12050587781917865
7,4183.0,1,5.0,0,0.0236672244800382,0.0245272307848083,0.5061856207239317,0.0279570318050252,0.4860214840974873,0.2958064452292462,0.17622120545229,0.3,,,,0.5545677470648709,0.013436969264949555,0.12602704657671995
10,555.0,1,6.0,0,0.1963963963963964,0.1966746973713906,0.5186864282834047,0.2131881194694426,0.3934059402652786,0.2680217820795836,0.225306365044325,0.3,,,,0.4867472957976803,0.12658662350283972,0.0670810408530112
11,568.0,1,6.0,0,0.2570422535211267,0.2552516173274653,0.5186864282834047,0.2684674105192348,0.3657662947403826,0.2597298884221147,0.2355725190964293,0.3,,,,0.4698719188657089,0.17145636869929778,0.05668307611487934
